date,price,route,currency,price_level,typical_low,typical_high,airline
2026-03-05 03:41,795,YYZ-GYE,CAD,typical,620,800,Avianca
2026-03-05 04:24,939,GYE-YYZ,CAD,high,620,760,Avianca
2026-03-05 15:04,371,GYE-YYZ,CAD,typical,360,495,Avianca
